freq,psd_x,psd_y,psd_z,psd_xyz
0.0,4.985e+01,4.037e+02,1.002e+02,5.537e+02
1.5,2.095e+02,3.052e+02,1.917e+02,7.064e+02
3.1,2.444e+02,1.138e+02,2.247e+02,5.830e+02
4.6,2.740e+02,4.479e+02,3.105e+02,1.032e+03
6.2,2.718e+02,1.342e+03,2.749e+02,1.889e+03
7.7,2.557e+02,2.104e+03,2.347e+02,2.595e+03
9.2,2.238e+02,3.236e+03,2.097e+02,3.670e+03
10.8,2.833e+02,4.679e+03,1.837e+02,5.146e+03
12.3,3.001e+02,4.835e+03,2.137e+02,5.349e+03
13.9,2.621e+02,6.017e+03,2.717e+02,6.551e+03
15.4,2.678e+02,8.274e+03,2.380e+02,8.780e+03
16.9,2.245e+02,1.068e+04,1.898e+02,1.110e+04
18.5,2.077e+02,1.324e+04,1.563e+02,1.360e+04
20.0,2.101e+02,1.639e+04,1.923e+02,1.680e+04
21.6,1.971e+02,2.003e+04,2.101e+02,2.044e+04
23.1,2.184e+02,2.429e+04,2.040e+02,2.471e+04
24.6,2.285e+02,2.963e+04,2.182e+02,3.007e+04
26.2,2.668e+02,3.602e+04,2.457e+02,3.654e+04
27.7,2.738e+02,4.461e+04,4.206e+02,4.530e+04
29.3,3.008e+02,5.556e+04,6.613e+02,5.653e+04
30.8,3.382e+02,6.603e+04,8.455e+02,6.721e+04
32.3,4.235e+02,7.631e+04,9.111e+02,7.764e+04
33.9,5.246e+02,9.155e+04,9.286e+02,9.300e+04
35.4,5.844e+02,1.159e+05,9.396e+02,1.175e+05
37.0,6.696e+02,1.592e+05,1.182e+03,1.611e+05
38.5,1.141e+03,2.334e+05,2.685e+03,2.373e+05
40.0,2.721e+03,3.619e+05,1.075e+04,3.754e+05
41.6,7.717e+03,6.575e+05,4.461e+04,7.099e+05
43.1,1.195e+04,1.091e+06,1.051e+05,1.208e+06
44.7,1.339e+04,1.270e+06,1.731e+05,1.456e+06
46.2,1.303e+04,8.985e+05,2.353e+05,1.147e+06
47.8,1.077e+04,4.658e+05,2.831e+05,7.597e+05
49.3,9.140e+03,2.991e+05,3.380e+05,6.463e+05
50.8,8.425e+03,3.641e+05,3.970e+05,7.695e+05
52.4,7.812e+03,4.402e+05,3.485e+05,7.966e+05
53.9,7.487e+03,3.017e+05,2.113e+05,5.204e+05
55.5,7.569e+03,1.872e+05,1.134e+05,3.082e+05
57.0,5.241e+03,1.431e+05,7.533e+04,2.237e+05
58.5,3.378e+03,1.226e+05,5.943e+04,1.854e+05
60.1,3.338e+03,1.123e+05,5.358e+04,1.692e+05
61.6,2.826e+03,1.053e+05,5.266e+04,1.607e+05
63.2,1.766e+03,8.965e+04,4.379e+04,1.352e+05
64.7,9.325e+02,6.698e+04,2.789e+04,9.580e+04
66.2,8.253e+02,4.989e+04,1.610e+04,6.681e+04
67.8,1.444e+03,3.946e+04,1.158e+04,5.249e+04
69.3,1.926e+03,3.768e+04,9.391e+03,4.899e+04
70.9,1.460e+03,3.860e+04,5.497e+03,4.555e+04
72.4,1.197e+03,3.592e+04,3.459e+03,4.058e+04
73.9,1.148e+03,3.242e+04,2.961e+03,3.653e+04
75.5,1.080e+03,2.811e+04,2.821e+03,3.201e+04
77.0,1.128e+03,2.239e+04,2.376e+03,2.590e+04
78.6,1.477e+03,1.711e+04,2.032e+03,2.062e+04
80.1,1.864e+03,1.880e+04,1.914e+03,2.258e+04
81.6,2.163e+03,4.534e+04,2.954e+03,5.046e+04
83.2,3.851e+03,9.926e+04,4.976e+03,1.081e+05
84.7,7.237e+03,1.439e+05,5.581e+03,1.568e+05
86.3,1.293e+04,1.985e+05,4.414e+03,2.159e+05
87.8,1.750e+04,2.647e+05,4.647e+03,2.869e+05
89.3,1.875e+04,2.898e+05,4.448e+03,3.130e+05
90.9,1.462e+04,2.971e+05,4.856e+03,3.166e+05
92.4,8.318e+03,2.884e+05,5.486e+03,3.022e+05
94.0,4.155e+03,2.605e+05,5.710e+03,2.704e+05
95.5,2.001e+03,2.282e+05,6.089e+03,2.363e+05
97.0,1.395e+03,1.970e+05,6.289e+03,2.047e+05
98.6,1.596e+03,1.760e+05,6.485e+03,1.841e+05
100.1,2.260e+03,1.655e+05,6.337e+03,1.741e+05
101.7,3.365e+03,1.614e+05,6.534e+03,1.713e+05
103.2,3.684e+03,1.687e+05,6.755e+03,1.792e+05
104.7,2.571e+03,1.588e+05,6.016e+03,1.674e+05
106.3,1.829e+03,1.413e+05,5.031e+03,1.482e+05
107.8,1.979e+03,1.269e+05,4.040e+03,1.329e+05
109.4,3.393e+03,1.092e+05,3.063e+03,1.157e+05
110.9,5.579e+03,9.340e+04,2.430e+03,1.014e+05
112.4,6.132e+03,8.136e+04,2.136e+03,8.962e+04
114.0,5.165e+03,7.278e+04,2.180e+03,8.013e+04
115.5,4.842e+03,6.213e+04,2.225e+03,6.920e+04
117.1,4.630e+03,6.103e+04,2.151e+03,6.781e+04
118.6,3.730e+03,6.042e+04,2.030e+03,6.618e+04
120.1,2.502e+03,4.589e+04,1.698e+03,5.009e+04
121.7,1.845e+03,4.108e+04,1.700e+03,4.463e+04
123.2,1.597e+03,5.060e+04,2.121e+03,5.432e+04
124.8,1.992e+03,5.192e+04,2.033e+03,5.595e+04
126.3,4.321e+03,6.951e+04,2.166e+03,7.600e+04
127.9,4.810e+03,6.740e+04,1.932e+03,7.414e+04
129.4,5.595e+03,5.972e+04,1.671e+03,6.699e+04
130.9,6.910e+03,5.565e+04,1.584e+03,6.414e+04
132.5,5.877e+03,4.108e+04,1.287e+03,4.824e+04
134.0,4.789e+03,1.097e+04,6.603e+02,1.641e+04
135.6,3.912e+03,4.365e+03,5.536e+02,8.831e+03
137.1,2.963e+03,4.369e+03,5.798e+02,7.912e+03
138.6,2.516e+03,4.584e+03,7.357e+02,7.835e+03
140.2,3.237e+03,4.763e+03,8.113e+02,8.812e+03
141.7,5.349e+03,4.658e+03,9.134e+02,1.092e+04
143.3,8.022e+03,4.567e+03,1.012e+03,1.360e+04
144.8,8.607e+03,4.616e+03,9.022e+02,1.413e+04
146.3,7.917e+03,4.896e+03,8.070e+02,1.362e+04
147.9,7.769e+03,5.865e+03,8.006e+02,1.443e+04
149.4,9.427e+03,7.229e+03,7.327e+02,1.739e+04
151.0,1.282e+04,8.090e+03,7.186e+02,2.163e+04
152.5,1.526e+04,8.201e+03,8.425e+02,2.430e+04
154.0,1.393e+04,7.651e+03,7.646e+02,2.234e+04
155.6,9.367e+03,6.982e+03,5.949e+02,1.694e+04
157.1,6.901e+03,6.192e+03,4.584e+02,1.355e+04
158.7,9.215e+03,4.627e+03,2.928e+02,1.413e+04
160.2,1.205e+04,3.240e+03,2.494e+02,1.554e+04
161.7,1.098e+04,3.345e+03,3.096e+02,1.464e+04
163.3,8.343e+03,3.912e+03,2.976e+02,1.255e+04
164.8,7.182e+03,4.110e+03,2.481e+02,1.154e+04
166.4,8.832e+03,4.233e+03,2.318e+02,1.330e+04
167.9,1.083e+04,4.484e+03,2.815e+02,1.559e+04
169.4,1.288e+04,5.272e+03,4.074e+02,1.856e+04
171.0,1.474e+04,5.622e+03,8.840e+02,2.125e+04
172.5,1.500e+04,6.528e+03,1.495e+03,2.303e+04
174.1,1.232e+04,6.538e+03,1.070e+03,1.993e+04
175.6,8.784e+03,7.501e+03,6.717e+02,1.696e+04
177.1,8.423e+03,1.156e+04,7.419e+02,2.073e+04
178.7,1.068e+04,1.709e+04,8.679e+02,2.864e+04
180.2,1.323e+04,1.886e+04,8.390e+02,3.292e+04
181.8,1.451e+04,1.884e+04,7.737e+02,3.413e+04
183.3,1.565e+04,1.889e+04,6.916e+02,3.523e+04
184.8,1.555e+04,1.864e+04,5.987e+02,3.479e+04
186.4,1.465e+04,1.764e+04,5.268e+02,3.282e+04
187.9,1.518e+04,1.704e+04,5.404e+02,3.277e+04
189.5,1.473e+04,1.648e+04,5.682e+02,3.177e+04
191.0,1.496e+04,1.620e+04,7.474e+02,3.190e+04
192.5,1.436e+04,1.530e+04,7.635e+02,3.043e+04
194.1,1.427e+04,1.473e+04,5.606e+02,2.956e+04
195.6,1.440e+04,1.487e+04,4.526e+02,2.972e+04
197.2,1.528e+04,1.706e+04,4.480e+02,3.278e+04
198.7,1.623e+04,1.835e+04,5.002e+02,3.508e+04
