freq,psd_x,psd_y,psd_z,psd_xyz
168.3,2.888e+03,1.113e+04,3.150e+02,1.433e+04
169.9,3.279e+03,1.109e+04,3.154e+02,1.469e+04
171.4,4.115e+03,1.180e+04,3.601e+02,1.627e+04
173.0,4.745e+03,1.425e+04,4.415e+02,1.943e+04
174.5,5.513e+03,1.600e+04,7.641e+02,2.228e+04
176.0,6.979e+03,1.817e+04,1.573e+03,2.672e+04
177.6,6.796e+03,2.016e+04,1.664e+03,2.862e+04
179.1,5.927e+03,2.121e+04,1.069e+03,2.821e+04
180.7,6.919e+03,2.276e+04,6.818e+02,3.036e+04
182.2,6.936e+03,2.624e+04,7.038e+02,3.388e+04
183.8,6.631e+03,2.854e+04,1.454e+03,3.662e+04
185.3,1.462e+04,4.021e+04,1.629e+04,7.112e+04
186.9,3.462e+04,6.727e+04,5.492e+04,1.568e+05
188.4,2.201e+04,4.788e+04,2.840e+04,9.830e+04
189.9,7.882e+03,3.413e+04,3.204e+03,4.522e+04
191.5,6.194e+03,3.699e+04,8.680e+02,4.405e+04
193.0,6.548e+03,4.488e+04,8.035e+02,5.223e+04
194.6,6.753e+03,5.064e+04,7.388e+02,5.813e+04
196.1,6.669e+03,5.265e+04,7.673e+02,6.009e+04
197.7,6.586e+03,5.768e+04,8.902e+02,6.515e+04
199.2,5.252e+03,6.267e+04,8.227e+02,6.875e+04
