freq,psd_x,psd_y,psd_z,psd_xyz
140.5,6.499e+03,9.602e+03,1.174e+03,1.727e+04
142.1,1.126e+04,8.536e+03,1.011e+03,2.081e+04
143.6,1.363e+04,7.390e+03,7.705e+02,2.179e+04
145.2,1.127e+04,6.238e+03,6.137e+02,1.812e+04
146.7,8.380e+03,5.555e+03,5.138e+02,1.445e+04
148.3,7.189e+03,5.512e+03,4.289e+02,1.313e+04
149.8,7.055e+03,6.000e+03,4.407e+02,1.350e+04
151.3,6.971e+03,6.934e+03,4.077e+02,1.431e+04
152.9,7.008e+03,7.298e+03,3.643e+02,1.467e+04
154.4,6.729e+03,7.355e+03,3.367e+02,1.442e+04
156.0,7.338e+03,7.557e+03,3.215e+02,1.522e+04
157.5,8.229e+03,7.720e+03,3.049e+02,1.625e+04
159.1,8.556e+03,7.975e+03,2.602e+02,1.679e+04
160.6,9.098e+03,7.825e+03,2.796e+02,1.720e+04
162.2,9.764e+03,7.940e+03,2.689e+02,1.797e+04
163.7,1.043e+04,7.607e+03,2.767e+02,1.832e+04
165.2,1.060e+04,6.944e+03,2.847e+02,1.783e+04
166.8,1.097e+04,6.774e+03,2.559e+02,1.800e+04
168.3,1.059e+04,6.784e+03,2.714e+02,1.765e+04
169.9,1.063e+04,6.894e+03,2.959e+02,1.782e+04
171.4,1.072e+04,7.198e+03,3.016e+02,1.822e+04
173.0,1.221e+04,7.651e+03,5.250e+02,2.038e+04
174.5,1.224e+04,8.227e+03,1.257e+03,2.173e+04
176.1,1.365e+04,8.956e+03,1.727e+03,2.433e+04
177.6,1.496e+04,9.807e+03,1.251e+03,2.602e+04
179.1,1.669e+04,1.108e+04,5.690e+02,2.834e+04
180.7,1.867e+04,1.253e+04,7.839e+02,3.198e+04
182.2,2.340e+04,1.732e+04,5.028e+03,4.574e+04
183.8,3.250e+04,2.611e+04,1.770e+04,7.631e+04
185.3,3.678e+04,3.188e+04,2.736e+04,9.602e+04
186.9,3.312e+04,3.456e+04,2.700e+04,9.468e+04
188.4,2.819e+04,3.303e+04,2.032e+04,8.153e+04
190.0,2.005e+04,2.146e+04,3.331e+03,4.485e+04
191.5,2.113e+04,2.174e+04,5.729e+02,4.344e+04
193.0,2.254e+04,2.541e+04,3.951e+02,4.834e+04
194.6,2.062e+04,3.185e+04,4.237e+02,5.289e+04
196.1,2.016e+04,3.897e+04,5.250e+02,5.966e+04
197.7,1.979e+04,4.432e+04,6.289e+02,6.474e+04
199.2,2.115e+04,4.877e+04,6.755e+02,7.059e+04
