freq,psd_x,psd_y,psd_z,psd_xyz
0.0,4.146e+02,8.060e+01,8.422e+01,5.794e+02
1.5,1.105e+03,4.624e+02,5.388e+02,2.107e+03
3.1,1.328e+03,7.899e+02,9.648e+02,3.083e+03
4.6,1.822e+03,8.078e+02,9.764e+02,3.606e+03
6.2,2.078e+03,4.783e+02,5.566e+02,3.113e+03
7.7,2.613e+03,2.322e+02,2.346e+02,3.080e+03
9.3,3.567e+03,1.834e+02,1.759e+02,3.926e+03
10.8,4.848e+03,1.918e+02,2.065e+02,5.246e+03
12.4,5.501e+03,2.037e+02,2.365e+02,5.941e+03
13.9,6.741e+03,1.623e+02,1.914e+02,7.094e+03
15.4,8.342e+03,1.721e+02,2.201e+02,8.734e+03
17.0,1.014e+04,1.847e+02,2.066e+02,1.053e+04
18.5,1.229e+04,1.775e+02,1.957e+02,1.266e+04
20.1,1.385e+04,1.865e+02,1.996e+02,1.424e+04
21.6,1.537e+04,2.234e+02,1.909e+02,1.578e+04
23.2,1.728e+04,2.360e+02,1.919e+02,1.771e+04
24.7,1.957e+04,2.398e+02,1.794e+02,1.999e+04
26.3,2.172e+04,2.578e+02,2.011e+02,2.218e+04
27.8,2.407e+04,2.833e+02,3.336e+02,2.469e+04
29.3,2.712e+04,7.276e+02,1.138e+03,2.898e+04
30.9,3.110e+04,1.934e+03,3.090e+03,3.613e+04
32.4,3.295e+04,2.152e+03,3.504e+03,3.860e+04
34.0,3.627e+04,1.123e+03,1.690e+03,3.908e+04
35.5,3.980e+04,4.279e+02,4.336e+02,4.066e+04
37.1,4.332e+04,3.529e+02,2.511e+02,4.393e+04
38.6,4.787e+04,4.344e+02,2.847e+02,4.858e+04
40.2,5.388e+04,4.590e+02,3.341e+02,5.467e+04
41.7,6.340e+04,4.125e+02,2.808e+02,6.409e+04
43.2,7.371e+04,3.937e+02,2.122e+02,7.431e+04
44.8,8.268e+04,4.697e+02,2.712e+02,8.342e+04
46.3,8.603e+04,5.630e+02,3.762e+02,8.697e+04
47.9,9.117e+04,6.939e+02,4.791e+02,9.234e+04
49.4,1.057e+05,7.050e+02,4.400e+02,1.068e+05
51.0,1.291e+05,7.083e+02,4.112e+02,1.302e+05
52.5,1.605e+05,7.628e+02,6.304e+02,1.619e+05
54.1,1.955e+05,7.572e+02,1.284e+03,1.975e+05
55.6,2.315e+05,8.051e+02,1.938e+03,2.342e+05
57.1,2.665e+05,1.146e+03,2.363e+03,2.701e+05
58.7,3.407e+05,1.996e+03,3.337e+03,3.460e+05
60.2,5.050e+05,4.119e+03,6.389e+03,5.155e+05
61.8,8.556e+05,8.608e+03,2.269e+04,8.869e+05
63.3,1.400e+06,1.593e+04,4.566e+04,1.461e+06
64.9,1.844e+06,2.129e+04,3.780e+04,1.904e+06
66.4,1.715e+06,2.546e+04,1.506e+04,1.756e+06
68.0,1.266e+06,2.803e+04,4.084e+03,1.298e+06
69.5,8.898e+05,2.475e+04,2.260e+03,9.168e+05
71.0,6.078e+05,1.675e+04,2.581e+03,6.272e+05
72.6,4.029e+05,1.099e+04,1.379e+03,4.153e+05
74.1,2.844e+05,9.109e+03,1.087e+03,2.946e+05
75.7,2.288e+05,8.435e+03,1.945e+03,2.391e+05
77.2,1.881e+05,6.772e+03,1.910e+03,1.968e+05
78.8,1.457e+05,6.055e+03,1.121e+03,1.529e+05
80.3,1.143e+05,5.308e+03,7.786e+02,1.204e+05
81.9,8.421e+04,3.548e+03,6.122e+02,8.837e+04
83.4,5.768e+04,2.731e+03,5.539e+02,6.097e+04
84.9,3.803e+04,2.410e+03,5.233e+02,4.096e+04
86.5,2.642e+04,2.138e+03,3.528e+02,2.891e+04
88.0,1.972e+04,2.163e+03,2.976e+02,2.218e+04
89.6,1.654e+04,2.923e+03,2.480e+02,1.971e+04
91.1,1.916e+04,5.275e+03,2.187e+02,2.465e+04
92.7,2.676e+04,1.001e+04,3.534e+02,3.713e+04
94.2,3.163e+04,1.242e+04,5.577e+02,4.461e+04
95.7,3.187e+04,1.070e+04,5.961e+02,4.317e+04
97.3,3.904e+04,9.642e+03,7.110e+02,4.939e+04
98.8,4.933e+04,9.371e+03,7.647e+02,5.947e+04
100.4,5.463e+04,1.206e+04,1.164e+03,6.786e+04
101.9,6.607e+04,1.894e+04,1.976e+03,8.699e+04
103.5,7.674e+04,2.079e+04,2.346e+03,9.988e+04
105.0,6.547e+04,1.517e+04,1.830e+03,8.247e+04
106.6,5.315e+04,1.010e+04,1.068e+03,6.432e+04
108.1,4.929e+04,7.361e+03,6.532e+02,5.731e+04
109.6,4.444e+04,4.927e+03,4.675e+02,4.983e+04
111.2,3.997e+04,3.659e+03,5.678e+02,4.420e+04
112.7,3.567e+04,3.402e+03,6.178e+02,3.969e+04
114.3,3.432e+04,3.002e+03,3.842e+02,3.770e+04
115.8,3.580e+04,2.432e+03,2.702e+02,3.850e+04
117.4,3.784e+04,2.036e+03,2.879e+02,4.017e+04
118.9,3.839e+04,2.623e+03,4.233e+02,4.144e+04
120.5,3.947e+04,5.754e+03,8.165e+02,4.604e+04
122.0,4.547e+04,1.266e+04,1.499e+03,5.963e+04
123.5,4.441e+04,1.858e+04,2.052e+03,6.503e+04
125.1,3.933e+04,2.172e+04,2.320e+03,6.337e+04
126.6,3.942e+04,2.060e+04,1.949e+03,6.197e+04
128.2,3.745e+04,1.652e+04,1.361e+03,5.533e+04
129.7,3.540e+04,1.460e+04,1.069e+03,5.107e+04
131.3,3.578e+04,1.791e+04,1.145e+03,5.484e+04
132.8,2.304e+04,9.380e+03,6.824e+02,3.310e+04
134.4,5.123e+03,4.678e+03,4.355e+02,1.024e+04
135.9,2.823e+03,6.228e+03,5.535e+02,9.605e+03
137.4,2.620e+03,7.536e+03,7.229e+02,1.088e+04
139.0,3.336e+03,9.137e+03,1.025e+03,1.350e+04
