freq,psd_x,psd_y,psd_z,psd_xyz
171.0,6.828e+04,3.229e+03,3.312e+02,7.184e+04
172.5,7.761e+04,3.802e+03,7.550e+02,8.217e+04
174.1,8.985e+04,4.454e+03,1.459e+03,9.576e+04
175.6,1.001e+05,4.945e+03,1.417e+03,1.064e+05
177.2,1.142e+05,5.203e+03,7.615e+02,1.201e+05
178.7,1.351e+05,5.433e+03,5.895e+02,1.412e+05
180.2,1.472e+05,5.748e+03,5.213e+02,1.534e+05
181.8,1.615e+05,6.871e+03,5.210e+02,1.689e+05
183.3,1.839e+05,8.412e+03,4.918e+02,1.928e+05
184.9,2.157e+05,9.754e+03,5.204e+02,2.260e+05
186.4,2.528e+05,1.088e+04,5.449e+02,2.642e+05
188.0,2.988e+05,1.192e+04,5.738e+02,3.113e+05
189.5,3.316e+05,1.274e+04,6.080e+02,3.450e+05
191.0,3.315e+05,1.268e+04,6.136e+02,3.448e+05
192.6,3.030e+05,1.263e+04,6.817e+02,3.163e+05
194.1,2.626e+05,1.271e+04,9.111e+02,2.762e+05
195.7,2.289e+05,1.260e+04,8.455e+02,2.423e+05
197.2,1.884e+05,1.179e+04,5.639e+02,2.007e+05
198.7,1.454e+05,1.273e+04,4.464e+02,1.585e+05
